,video_id,video_title,upload_date,view_count,like_count,comment_count
106,isPHa5dCFoA,"Бесполезные идиоты. Беседа Андрея Пионтковского, Геннадия Гудкова, Марка Фейгина",2022-05-19,1004885,75346,1341
107,i5iEtCfi_d4,День восемьдесят четвёртый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-18,2047847,262525,3984
108,BFeYwCDpThc,День восемьдесят третий. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-17,2040833,282397,4378
109,faLPrqD0AL0,День восемьдесят второй. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-16,2132248,296613,4111
110,KIc2ly2rt0w,День восемьдесят первый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-15,2031788,252214,3542
111,uCPZWIszf3I,День восьмидесятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-14,2107270,271778,4795
112,AuvOiXJaoY4,День семьдесят девятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-13,1943871,256973,3286
113,03AJkoXvyi4,День семьдесят восьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-12,1995011,274687,3504
114,IVgWLufoVt8,Мы же братья! Беседа с Андреем Пионтковским,2022-05-12,920539,73079,1189
115,OcSdqg6bLPA,День семьдесят седьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-11,2069424,281306,3633
116,ay9R3RC0T0E,Хтонь. Беседа с  Александр Невзоров,2022-05-11,926504,63816,2207
117,BEgItowFwpY,День семьдесят шестой. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-10,2030825,274329,3931
118,MIdr2omypC4,День семьдесят пятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-09,2044799,279940,4401
119,JEg-PC_bTAU,День семьдесят четвёртый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-08,2255321,267749,5533
120,felXtVdM2MA,День семьдесят третий. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-07,1947232,259060,4064
121,0h3XBDa7fkU,День семьдесят второй. Беседа с  Alexey Arestovych  Алексей Арестович,2022-05-06,2051648,299700,4404
122,0tZZBJw3Mfc,День семьдесят первый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-05,1948222,269655,3425
123,t4-Vf6L63Js,День семидесятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-04,1938225,302237,3952
124,FfeaUvBsStE,Праздничная мобилизация. Беседа с Юрием Фёдоровым,2022-05-04,986989,66667,1118
